"available","availableText","brand","ean","endedDate","image","itemLocation","itemNumber","mpn","price","priceWithCurrency","seller","sold","subTitle","title","type","upc","url","wasPrice","wasPriceWithCurrency","whyToBuy/0","whyToBuy/1","whyToBuy/2"
,,,,,,"San Francisco, California, United States","255843396588",,"6995","US $6,995.00","hmn99",,"","2005 UD SP Triple Auto Autograph Bill Russell Julius Erving Magic Johnson BGS 9","Sports Trading Card",,"https://www.ebay.com/itm/255843396588",,,"Ships from United States","6 watchers",
,,,,,,"Charlotte, North Carolina, United States","265165193091",,"6995","US $6,995.00","cardboardcap722",,"","2012 Select Silver Prizm Kobe Bryant #54 PSA 10 GEM MINT","Sports Trading Card",,"https://www.ebay.com/itm/265165193091",,,"Ships from United States","20 watchers",
,,,,,,"Pinedale, Wyoming, United States","125562978534",,"6999.99","US $6,999.99","trewilkinso6",,"","2000 Pacific Tom Brady auto psa 10 & psa 8! high grade card & perfect auto RARE!","Sports Trading Card",,"https://www.ebay.com/itm/125562978534",,,"Ships from United States",,
,,,,,,"New York, New York, United States","154705652044",,"6999.95","US $6,999.95","keenek0ng",,"","2017 PANINI PRIZM BLUE ICE JAYSON TATUM ROOKIE RC /99 #16 BGS 9.5 GEM MINT","Sports Trading Card","Does not apply","https://www.ebay.com/itm/154705652044",,,"Ships from United States","32 watchers",
,,,,,,"Geneva, Ohio, United States","275543167942",,"6999.99","US $6,999.99","kicksncardz",,"","2003-04 Upper Deck Glass LeBron James Rookie /250 BGS 9.5 GEM MINT RARE Cavs 🔥","Sports Trading Card",,"https://www.ebay.com/itm/275543167942",,,"Ships from United States","5 watchers",
,,,,,,"Foothill Ranch, California, United States","155281039546",,"6999","US $6,999.00","thenandnowcollectibles",,"","1985 Star #117 Michael Jordan RC BGS 9.5 4x9.5 Quad Gem","Sports Trading Card",,"https://www.ebay.com/itm/155281039546",,,"Ships from United States",,
,,,,,,"quezon city, ncr, Philippines","125545281722",,"7000","US $7,000.00","pg24shuttlesworth",,"","2019-20 Donruss Next Day Ja Morant Rookie Auto BGS 9.5/10","Sports Trading Card",,"https://www.ebay.com/itm/125545281722",,,"14 watchers",,
,,,,,,"Forked River, New Jersey, United States","265388514772",,"6995","US $6,995.00","eleven11again",,"","1970 Topps Candy Lids Reggie Jackson NM-MT+ PSA 8.5 Rare Pop 2 Only 2 Higher",,,"https://www.ebay.com/itm/265388514772",,,"Ships from United States",,
,,,,,,"Warwick, New York, United States","194706728732",,"6999.99","US $6,999.99","sandmanspeaking",,"","2020 Panini On The Horizon Luka Doncic #OH18 PSA 10 SSP Super Rare Card","Sports Trading Card",,"https://www.ebay.com/itm/194706728732",,,"Ships from United States","5 watchers",
,,,,,,"Markham, Ontario, Canada","224575714351",,"7000","US $7,000.00","shiftintermedia",,"","2017 TOPPS TRIBUTE #TA-HA HANK AARON AUTO RED SERIAL #10/10 PSA 9 / AUTO 10","Sports Trading Card",,"https://www.ebay.com/itm/224575714351",,,"Ships from Canada",,
